Class Name,Method Signature
org.apache.commons.cli.PatternOptionBuilder,"getValueClass(char)"
org.apache.commons.cli.PatternOptionBuilder,"getValueType(char)"
org.apache.commons.cli.PatternOptionBuilder,"isValueCode(char)"
org.apache.commons.cli.PatternOptionBuilder,"parsePattern(String)"
org.apache.commons.cli.Options,"addOption(Option)"
org.apache.commons.cli.Options,"addOption(String, boolean, String)"
org.apache.commons.cli.Options,"addOption(String, String)"
org.apache.commons.cli.Options,"addOption(String, String, boolean, String)"
org.apache.commons.cli.Options,"addOptionGroup(OptionGroup)"
org.apache.commons.cli.Options,"addOptions(Options)"
org.apache.commons.cli.Options,"addRequiredOption(String, String, boolean, String)"
org.apache.commons.cli.Options,"getMatchingOptions(String)"
org.apache.commons.cli.Options,"getOption(String)"
org.apache.commons.cli.Options,"getOptionGroup(Option)"
org.apache.commons.cli.Options,"hasLongOption(String)"
org.apache.commons.cli.Options,"hasOption(String)"
org.apache.commons.cli.Options,"hasShortOption(String)"
org.apache.commons.cli.Options,"toString()"
org.apache.commons.cli.HelpFormatter,"builder()"
org.apache.commons.cli.HelpFormatter,"getDescription(Option)"
org.apache.commons.cli.HelpFormatter,"printHelp(int, String, String, Options, String)"
org.apache.commons.cli.HelpFormatter,"printHelp(int, String, String, Options, String, boolean)"
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter, int, String, String, Options, int, int, String)"
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter, int, String, String, Options, int, int, String, boolean)"
org.apache.commons.cli.HelpFormatter,"printHelp(String, Options)"
org.apache.commons.cli.HelpFormatter,"printHelp(String, Options, boolean)"
org.apache.commons.cli.HelpFormatter,"printHelp(String, String, Options, String)"
org.apache.commons.cli.HelpFormatter,"printHelp(String, String, Options, String, boolean)"
org.apache.commons.cli.HelpFormatter,"printOptions(PrintWriter, int, Options, int, int)"
org.apache.commons.cli.HelpFormatter,"printUsage(PrintWriter, int, String)"
org.apache.commons.cli.HelpFormatter,"printUsage(PrintWriter, int, String, Options)"
org.apache.commons.cli.HelpFormatter,"printWrapped(PrintWriter, int, int, String)"
org.apache.commons.cli.HelpFormatter,"printWrapped(PrintWriter, int, String)"
org.apache.commons.cli.DefaultParser,"builder()"
org.apache.commons.cli.DefaultParser,"parse(Options, Properties, NonOptionAction, String[])"
org.apache.commons.cli.DefaultParser,"parse(Options, String[])"
org.apache.commons.cli.DefaultParser,"parse(Options, String[], boolean)"
org.apache.commons.cli.DefaultParser,"parse(Options, String[], Properties)"
org.apache.commons.cli.DefaultParser,"parse(Options, String[], Properties, boolean)"
org.apache.commons.cli.help.TextHelpAppendable,"indexOfWrap(CharSequence, int, int)"
org.apache.commons.cli.help.TextHelpAppendable,"appendHeader(int, CharSequence)"
org.apache.commons.cli.help.TextHelpAppendable,"appendList(boolean, Collection)"
org.apache.commons.cli.help.TextHelpAppendable,"appendParagraph(CharSequence)"
org.apache.commons.cli.help.TextHelpAppendable,"appendTable(TableDefinition)"
org.apache.commons.cli.help.TextHelpAppendable,"appendTitle(CharSequence)"
org.apache.commons.cli.help.TextHelpAppendable,"printWrapped(String)"
org.apache.commons.cli.help.TextHelpAppendable,"printWrapped(String, TextStyle)"
org.apache.commons.cli.help.TextStyle,"builder()"
org.apache.commons.cli.help.TextStyle,"pad(boolean, CharSequence)"
org.apache.commons.cli.help.TextStyle,"toString()"
org.apache.commons.cli.OptionBuilder,"create()"
org.apache.commons.cli.OptionBuilder,"create(char)"
org.apache.commons.cli.OptionBuilder,"create(String)"
org.apache.commons.cli.OptionBuilder,"hasArg()"
org.apache.commons.cli.OptionBuilder,"hasArg(boolean)"
org.apache.commons.cli.OptionBuilder,"hasArgs()"
org.apache.commons.cli.OptionBuilder,"hasArgs(int)"
org.apache.commons.cli.OptionBuilder,"hasOptionalArg()"
org.apache.commons.cli.OptionBuilder,"hasOptionalArgs()"
org.apache.commons.cli.OptionBuilder,"hasOptionalArgs(int)"
org.apache.commons.cli.OptionBuilder,"isRequired()"
org.apache.commons.cli.OptionBuilder,"isRequired(boolean)"
org.apache.commons.cli.OptionBuilder,"withArgName(String)"
org.apache.commons.cli.OptionBuilder,"withDescription(String)"
org.apache.commons.cli.OptionBuilder,"withLongOpt(String)"
org.apache.commons.cli.OptionBuilder,"withType(Class)"
org.apache.commons.cli.OptionBuilder,"withType(Object)"
org.apache.commons.cli.OptionBuilder,"withValueSeparator()"
org.apache.commons.cli.OptionBuilder,"withValueSeparator(char)"
org.apache.commons.cli.CommandLine,"builder()"
org.apache.commons.cli.CommandLine,"getOptionObject(char)"
org.apache.commons.cli.CommandLine,"getOptionObject(String)"
org.apache.commons.cli.CommandLine,"getOptionProperties(Option)"
org.apache.commons.cli.CommandLine,"getOptionProperties(String)"
org.apache.commons.cli.CommandLine,"getOptionValue(char)"
org.apache.commons.cli.CommandLine,"getOptionValue(char, String)"
org.apache.commons.cli.CommandLine,"getOptionValue(char, Supplier)"
org.apache.commons.cli.CommandLine,"getOptionValue(Option)"
org.apache.commons.cli.CommandLine,"getOptionValue(Option, String)"
org.apache.commons.cli.CommandLine,"getOptionValue(Option, Supplier)"
org.apache.commons.cli.CommandLine,"getOptionValue(OptionGroup)"
org.apache.commons.cli.CommandLine,"getOptionValue(OptionGroup, String)"
org.apache.commons.cli.CommandLine,"getOptionValue(OptionGroup, Supplier)"
org.apache.commons.cli.CommandLine,"getOptionValue(String)"
org.apache.commons.cli.CommandLine,"getOptionValue(String, String)"
org.apache.commons.cli.CommandLine,"getOptionValue(String, Supplier)"
org.apache.commons.cli.CommandLine,"getOptionValues(char)"
org.apache.commons.cli.CommandLine,"getOptionValues(Option)"
org.apache.commons.cli.CommandLine,"getOptionValues(OptionGroup)"
org.apache.commons.cli.CommandLine,"getOptionValues(String)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(char)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(char, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(char, T)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(Option)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(Option, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(Option, T)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(OptionGroup)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(OptionGroup, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(OptionGroup, T)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(String)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(String, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(String, T)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(char)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(char, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(char, T[])"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(Option)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(Option, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(Option, T[])"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(OptionGroup)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(OptionGroup, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(OptionGroup, T[])"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(String)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(String, Supplier)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(String, T[])"
org.apache.commons.cli.CommandLine,"hasOption(char)"
org.apache.commons.cli.CommandLine,"hasOption(Option)"
org.apache.commons.cli.CommandLine,"hasOption(OptionGroup)"
org.apache.commons.cli.CommandLine,"hasOption(String)"
org.apache.commons.cli.CommandLine,"iterator()"
org.apache.commons.cli.Option,"builder()"
org.apache.commons.cli.Option,"builder(String)"
org.apache.commons.cli.Option,"addValue(String)"
org.apache.commons.cli.Option,"clone()"
org.apache.commons.cli.Option,"equals(Object)"
org.apache.commons.cli.Option,"getValue(int)"
org.apache.commons.cli.Option,"getValue(String)"
org.apache.commons.cli.Option,"hasArg()"
org.apache.commons.cli.Option,"hasArgName()"
org.apache.commons.cli.Option,"hasArgs()"
org.apache.commons.cli.Option,"hashCode()"
org.apache.commons.cli.Option,"hasLongOpt()"
org.apache.commons.cli.Option,"hasOptionalArg()"
org.apache.commons.cli.Option,"hasValueSeparator()"
org.apache.commons.cli.Option,"toString()"
org.apache.commons.cli.DeprecatedAttributes,"builder()"
org.apache.commons.cli.DeprecatedAttributes,"toString()"
org.apache.commons.cli.help.OptionFormatter,"builder()"
org.apache.commons.cli.help.OptionFormatter,"from(Option)"
org.apache.commons.cli.help.OptionFormatter,"toOptional(String)"
org.apache.commons.cli.help.OptionFormatter,"toSyntaxOption()"
org.apache.commons.cli.help.OptionFormatter,"toSyntaxOption(boolean)"
org.apache.commons.cli.TypeHandler,"createClass(String)"
org.apache.commons.cli.TypeHandler,"createDate(String)"
org.apache.commons.cli.TypeHandler,"createDefaultMap()"
org.apache.commons.cli.TypeHandler,"createFile(String)"
org.apache.commons.cli.TypeHandler,"createFiles(String)"
org.apache.commons.cli.TypeHandler,"createNumber(String)"
org.apache.commons.cli.TypeHandler,"createObject(String)"
org.apache.commons.cli.TypeHandler,"createURL(String)"
org.apache.commons.cli.TypeHandler,"createValue(String, Class)"
org.apache.commons.cli.TypeHandler,"createValue(String, Object)"
org.apache.commons.cli.TypeHandler,"openFile(String)"
org.apache.commons.cli.TypeHandler,"getConverter(Class)"
org.apache.commons.cli.help.HelpFormatter,"builder()"
org.apache.commons.cli.help.HelpFormatter,"getTableDefinition(Iterable)"
org.apache.commons.cli.ParseException,"wrap(Throwable)"
org.apache.commons.cli.OptionGroup,"addOption(Option)"
org.apache.commons.cli.OptionGroup,"toString()"
