Class Name,Method Signature
org.apache.commons.cli.TypeHandler,"openFile(String)"
org.apache.commons.cli.CommandLine,"getParsedOptionValues(String, T[])"
org.apache.commons.cli.help.TextHelpAppendable,"printWrapped(String, TextStyle)"
org.apache.commons.cli.HelpFormatter,"printWrapped(PrintWriter, int, int, String)"
org.apache.commons.cli.help.TextStyle,"toString()"
org.apache.commons.cli.HelpFormatter,"printHelp(PrintWriter, int, String, String, Options, int, int, String, boolean)"
org.apache.commons.cli.help.TextHelpAppendable,"appendTable(TableDefinition)"
org.apache.commons.cli.OptionBuilder,"withLongOpt(String)"
org.apache.commons.cli.OptionBuilder,"withType(Object)"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(Option, Supplier)"
org.apache.commons.cli.OptionBuilder,"hasOptionalArgs()"
org.apache.commons.cli.CommandLine,"getOptionValues(String)"
org.apache.commons.cli.Option,"hashCode()"
org.apache.commons.cli.CommandLine,"getParsedOptionValue(char)"
org.apache.commons.cli.Options,"hasLongOption(String)"
